county,url,check_time,http_status,result,keywords_found,error_detail
Lac qui Parle,https://www.lqpco.com/319/Forfeited-Properties,2026-06-15T16:15:50,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Lake,https://www.co.lake.mn.us/forestry/land-sales/,2026-06-15T16:15:53,200,sale_found,tax-forfeited; forfeited land; land sale; forfeiture sale; forfeited property,
Lake of the Woods,https://www.co.lake-of-the-woods.mn.us/auditor/property-taxes/,2026-06-15T16:15:55,200,sale_found,tax forfeited; land sale; forfeited property; tax forfeit,
Lake of the Woods,https://www.co.lake-of-the-woods.mn.us/community/land-sales/,2026-06-15T16:16:00,200,sale_found,tax-forfeited; forfeited land; land sale; public auction,
Le Sueur,https://www.co.le-sueur.mn.us/DocumentCenter/View/139/Forfeit-Property-for-Sale-PDF,2026-06-15T16:16:03,200,sale_found,tax forfeit,
Le Sueur,https://www.co.le-sueur.mn.us/185/Auditor-Treasurer-Office,2026-06-15T16:16:05,200,sale_found,tax forfeited; forfeited property; tax forfeit,
Lincoln,http://www.co.lincoln.mn.us/Departments/AuditorTreasurer.html,2026-06-15T16:16:08,200,no_sale_found,,
Lyon,https://www.lyonco.org/departments/auditor-treasurer/tax-forfeited-land,2026-06-15T16:16:17,403,error_http_403,,http_403
Mahnomen,https://co.mahnomen.mn.us/taxpayer,2026-06-15T16:16:24,404,error_http_404,,http_404
Marshall,https://www.co.marshall.mn.us/departments/auditor-treasurer/index.php,2026-06-15T16:16:26,200,no_sale_found,,
Martin,https://www.co.martin.mn.us/your_government/departments/auditor_treasurer/tax_forfeited_land.php,2026-06-15T16:16:32,200,sale_found,tax forfeited; tax-forfeited; forfeited land; tax forfeit,
McLeod,https://www.co.mcleod.mn.us/government/auditor-treasurer/tax_forfeited_property.php,2026-06-15T16:16:34,200,sale_found,tax forfeited; forfeited land; land sale; public auction; forfeited property,
Meeker,https://www.co.meeker.mn.us/336/Tax-Forfeit-Property,2026-06-15T16:16:37,200,sale_found,tax forfeited; forfeited property; tax forfeit,
Mille Lacs,https://www.millelacs.mn.gov/2700/Tax-Forfeited-Property,2026-06-15T16:16:39,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Morrison,https://www.co.morrison.mn.us/283/Land,2026-06-15T16:16:42,200,sale_found,tax forfeited; forfeited land; land sale; forfeited parcels; tax forfeit,
Mower,https://www.co.mower.mn.us/191/Tax-Forfeited-Properties-For-Sale,2026-06-15T16:16:45,200,sale_found,tax forfeited; tax-forfeited; forfeited land; public auction; tax forfeit,
Murray,https://www.murray-countymn.com/_T7_R319.php,2026-06-15T16:16:48,404,error_http_404,,http_404
Nicollet,https://www.co.nicollet.mn.us/170/Tax-Forfeited-Properties,2026-06-15T16:16:50,200,sale_found,tax forfeited; forfeited land; forfeiture sale; forfeited property; forfeited parcels,
Nobles,https://www.co.nobles.mn.us/notice-of-public-sale-of-tax-forfeited-lands/,2026-06-15T16:16:54,200,sale_found,tax forfeited; tax-forfeited; forfeited land; public auction; forfeited property,
Norman,https://www.co.norman.mn.us/departments/auditor-treasurer/tax_forfeiture.php,2026-06-15T16:16:57,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; classification sale,
Olmsted,https://www.olmstedcounty.gov/business/business-licensing-permits/sales/tax-forfeited-property#land-auctions__open--121118826,2026-06-15T16:17:00,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; over-the-counter,
Otter Tail,https://ottertailcountymn.us/content-page/tax-forfeited-lands/,2026-06-15T16:17:02,403,error_http_403,,http_403
Pennington,https://co.pennington.mn.us/index.php/services/treasurer,2026-06-15T16:17:04,404,error_http_404,,http_404
Pine,https://www.co.pine.mn.us/departments/land/tax_forfeited_land_for_sale.php,2026-06-15T16:17:07,200,sale_found,tax forfeited; forfeited land; land sale; over-the-counter; tax forfeit,
Pipestone,https://www.pipestone-county.com/government/departments/assessor/property_tax.php,2026-06-15T16:17:10,200,no_sale_found,,
Polk,https://www.co.polk.mn.us/190/Forfeited-Property-Currently-for-Sale,2026-06-15T16:17:17,200,sale_found,tax-forfeited; forfeited land; forfeited property; tax forfeit,
Polk,https://www.co.polk.mn.us/192/Forfeited-Property-Auctions,2026-06-15T16:17:19,200,sale_found,forfeited property,
Pope,https://pctribune.com/2023/11/notice-of-public-sale-of-tax-forfeited-lands/,2026-06-15T16:17:22,200,sale_found,tax forfeited; tax-forfeited; forfeited land; public auction; tax forfeit,
