county,url,check_time,http_status,result,keywords_found,error_detail
Aitkin,https://www.co.aitkin.mn.us/departments/Land/LandSaleNotice.html#gsc.tab=0,2026-06-22T15:48:52,404,error_http_404,,http_404
Aitkin,https://www.co.aitkin.mn.us/departments/land/land-sales.php,2026-06-22T15:48:54,200,sale_found,tax-forfeited; forfeited land; land sale,
Anoka,https://www.anokacounty.us/310/Tax-Forfeited-Land-Sales,2026-06-22T15:48:57,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; forfeited property,
Becker,https://www.co.becker.mn.us/dept/natural_resource/tax_forfeited_sales.aspx,2026-06-22T15:48:59,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; tax forfeit,SSL certificate warning - fetched with verify=False
Beltrami,https://www.co.beltrami.mn.us/business-development/tax-forfeited-land-sales/,2026-06-22T15:49:02,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; tax forfeit,
Benton,https://www.co.benton.mn.us/187/Tax-Forfeited-Properties,2026-06-22T15:49:04,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Big Stone,https://bigstonecounty.gov/departments/auditor-treasurer/forfeited-land/,2026-06-22T15:49:07,200,sale_found,tax forfeited; tax-forfeited; forfeited land; tax forfeit,
Blue Earth,https://www.blueearthcountymn.gov/463/Tax-Forfeiture,2026-06-22T15:49:11,200,sale_found,tax-forfeited; forfeited parcels; tax forfeit,
Brown,https://www.co.brown.mn.us/183/General-Auction-Property-Sale-Informatio,2026-06-22T15:49:14,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Carlton,https://www.co.carlton.mn.us/163/Land-Department,2026-06-22T15:49:17,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; tax forfeit,
Carver,https://www.co.carver.mn.us/departments/property-finance/property-tax/tax-forfeiture-sale,2026-06-22T15:49:20,,error_connection_error,,"connection_error: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
Cass,https://www.casscountymn.gov/1339/Land-Sales,2026-06-22T15:49:28,200,sale_found,tax-forfeited; forfeited land; land sale; public auction; over-the-counter,
Chippewa,https://www.co.chippewa.mn.us/311/Tax-Forfeiture-List,2026-06-22T15:49:31,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Chisago,https://www.chisagocounty.us/161/Tax-Forfeited-Land,2026-06-22T15:49:33,200,sale_found,tax forfeited; forfeited land; public auction; classification sale; forfeited property,
Clay,https://claycountymn.gov/290/Forfeiture-Property-for-Sale,2026-06-22T15:49:36,200,sale_found,tax forfeited; forfeited land; auction sale; tax forfeit,
Clearwater,https://www.co.clearwater.mn.us/index.asp?SEC=49B3D327-94F9-4B4A-B2D1-3B8A64A59AAF,2026-06-22T15:49:39,200,sale_found,tax-forfeited; forfeited land; land sale; county land sale,
Cook,https://www.co.cook.mn.us/government/departments/auditor_treasurer/tax_forfeited_land_sales.php,2026-06-22T15:49:41,200,sale_found,tax forfeited; forfeited land; land sale; tax forfeit,
Cottonwood,https://www.co.cottonwood.mn.us/departments/administrative/auditor_treasurer/tax_forfeiture/index.php,2026-06-22T15:49:44,404,error_http_404,,http_404
Crow Wing,https://crowwing.us/269/Land-Sales,2026-06-22T15:49:47,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Dakota,https://www.co.dakota.mn.us/HomeProperty/Forfeited,2026-06-22T15:49:50,200,sale_found,tax-forfeited; forfeited land; forfeited property; forfeited parcels; tax forfeit,
Dodge,https://www.co.dodge.mn.us/departments/adminstration/tax-forfeited_property.php,2026-06-22T15:49:52,200,sale_found,tax-forfeited; forfeited land; forfeited property,
Douglas,https://www.co.douglas.mn.us/tax-forfeited-land,2026-06-22T15:49:54,,error_connection_error,,"connection_error: HTTPSConnectionPool(host='www.co.douglas.mn.us', port=443): Max retries exceeded with url: /tax-forfeited-land (Caused by NameResolutionError(""HTTPSConnection(host='www.co.douglas.mn.us', port=443): Failed to resolve 'www.co.douglas.mn.us' ([Errno -2] Name or service not known)""))"
Faribault,https://www.co.faribault.mn.us/auditor-treasurer/pages/tax-forfeiture-land-sale-information,2026-06-22T15:50:02,404,error_http_404,,http_404
Fillmore,https://www.co.fillmore.mn.us/departments/auditor_treasurer/tax_forfeited_land_sales.php,2026-06-22T15:50:05,200,sale_found,tax forfeited; forfeited land; land sale; public auction; forfeiture sale,
Freeborn,https://www.co.freeborn.mn.us/168/Forfeiture-Property,2026-06-22T15:50:07,200,sale_found,tax forfeited; tax-forfeited; forfeited property; forfeited parcels; tax forfeit,
Goodhue,https://www.co.goodhue.mn.us/719/Tax-Forfeited-Land,2026-06-22T15:50:10,200,sale_found,tax forfeited; forfeited land; public auction; forfeited parcels; tax forfeit,
Grant,https://www.co.grant.mn.us/371/Tax-Forfeiture-PropertiesFor-Immediate-S,2026-06-22T15:50:13,200,sale_found,tax forfeit,
Hennepin,https://www.hennepin.us/residents/property/tax-forfeited-land,2026-06-22T15:50:15,404,error_http_404,,http_404
Houston,https://www.co.houston.mn.us/departments/auditor-treasurer/,2026-06-22T15:50:23,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Hubbard,https://co.hubbard.mn.us/tfl,2026-06-22T15:50:26,200,sale_found,tax forfeited; forfeited land; land sale; public auction; over-the-counter,
