county,url,check_time,http_status,result,keywords_found,error_detail
Aitkin,https://www.co.aitkin.mn.us/departments/land/land-sales.php,2026-09-07T16:38:26,200,sale_found,tax-forfeited; forfeited land; land sale,
Anoka,https://www.anokacounty.us/310/Tax-Forfeited-Land-Sales,2026-09-07T16:38:29,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; forfeited property,
Becker,https://www.co.becker.mn.us/dept/natural_resource/tax_forfeited_sales.aspx,2026-09-07T16:38:31,200,needs_manual_review,,Page content too short - may require JavaScript
Beltrami,https://www.co.beltrami.mn.us/business-development/tax-forfeited-land-sales/,2026-09-07T16:38:34,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; tax forfeit,
Benton,https://www.co.benton.mn.us/187/Tax-Forfeited-Properties,2026-09-07T16:38:37,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Big Stone,https://bigstonecounty.gov/departments/auditor-treasurer/forfeited-land/,2026-09-07T16:38:40,200,sale_found,tax forfeited; tax-forfeited; forfeited land; tax forfeit,
Blue Earth,https://www.blueearthcountymn.gov/463/Tax-Forfeiture,2026-09-07T16:38:43,200,sale_found,tax-forfeited; forfeited parcels; tax forfeit,
Brown,https://www.co.brown.mn.us/183/General-Auction-Property-Sale-Informatio,2026-09-07T16:38:45,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Carlton,https://www.co.carlton.mn.us/163/Land-Department,2026-09-07T16:38:48,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; tax forfeit,
Carver,"https://www.publicsurplus.com/sms/carverco,mn/browse/home",2026-09-07T16:38:51,200,sale_found,forfeited land; land sale; tax forfeit,
Cass,https://www.casscountymn.gov/1339/Land-Sales,2026-09-07T16:38:54,200,sale_found,tax-forfeited; forfeited land; land sale; public auction; over-the-counter,
Chippewa,https://www.co.chippewa.mn.us/311/Tax-Forfeiture-List,2026-09-07T16:38:56,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Chisago,https://www.chisagocounty.us/161/Tax-Forfeited-Land,2026-09-07T16:38:59,200,sale_found,tax forfeited; forfeited land; public auction; classification sale; forfeited property,
Clay,https://claycountymn.gov/290/Forfeiture-Property-for-Sale,2026-09-07T16:39:02,200,sale_found,tax forfeited; forfeited land; auction sale; tax forfeit,
Clearwater,https://www.co.clearwater.mn.us/index.asp?SEC=49B3D327-94F9-4B4A-B2D1-3B8A64A59AAF,2026-09-07T16:39:04,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; county land sale,
Cook,https://www.co.cook.mn.us/government/departments/auditor_treasurer/tax_forfeited_land_sales.php,2026-09-07T16:39:06,200,sale_found,tax forfeited; forfeited land; land sale; tax forfeit,
