county,url,check_time,http_status,result,keywords_found,error_detail
Aitkin,https://www.co.aitkin.mn.us/departments/land/land-sales.php,2026-07-27T13:55:31,200,sale_found,tax-forfeited; forfeited land; land sale,
Anoka,https://www.anokacounty.us/310/Tax-Forfeited-Land-Sales,2026-07-27T13:55:33,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; forfeited property,
Becker,https://www.co.becker.mn.us/dept/natural_resource/tax_forfeited_sales.aspx,2026-07-27T13:55:36,200,needs_manual_review,,Page content too short - may require JavaScript
Beltrami,https://www.co.beltrami.mn.us/business-development/tax-forfeited-land-sales/,2026-07-27T13:55:39,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; tax forfeit,
Benton,https://www.co.benton.mn.us/187/Tax-Forfeited-Properties,2026-07-27T13:55:43,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Big Stone,https://bigstonecounty.gov/departments/auditor-treasurer/forfeited-land/,2026-07-27T13:55:46,200,sale_found,tax forfeited; tax-forfeited; forfeited land; tax forfeit,
Blue Earth,https://www.blueearthcountymn.gov/463/Tax-Forfeiture,2026-07-27T13:55:49,200,sale_found,tax-forfeited; forfeited parcels; tax forfeit,
Brown,https://www.co.brown.mn.us/183/General-Auction-Property-Sale-Informatio,2026-07-27T13:55:52,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Carlton,https://www.co.carlton.mn.us/163/Land-Department,2026-07-27T13:55:55,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; tax forfeit,
Carver,"https://www.publicsurplus.com/sms/carverco,mn/browse/home",2026-07-27T13:55:58,200,sale_found,forfeited land; tax forfeit,
Cass,https://www.casscountymn.gov/1339/Land-Sales,2026-07-27T13:56:00,200,sale_found,tax-forfeited; forfeited land; land sale; public auction; over-the-counter,
Chippewa,https://www.co.chippewa.mn.us/311/Tax-Forfeiture-List,2026-07-27T13:56:03,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Chisago,https://www.chisagocounty.us/161/Tax-Forfeited-Land,2026-07-27T13:56:06,200,sale_found,tax forfeited; forfeited land; public auction; classification sale; forfeited property,
Clay,https://claycountymn.gov/290/Forfeiture-Property-for-Sale,2026-07-27T13:56:09,200,sale_found,tax forfeited; forfeited land; auction sale; tax forfeit,
Clearwater,https://www.co.clearwater.mn.us/index.asp?SEC=49B3D327-94F9-4B4A-B2D1-3B8A64A59AAF,2026-07-27T13:56:11,200,sale_found,tax-forfeited; forfeited land; land sale; county land sale,
Cook,https://www.co.cook.mn.us/government/departments/auditor_treasurer/tax_forfeited_land_sales.php,2026-07-27T13:56:14,200,sale_found,tax forfeited; forfeited land; land sale; tax forfeit,
Cottonwood,https://www.cottonwoodcountymn.gov/departments/administrative/auditor_treasurer/tax_forfeiture.php,2026-07-27T13:56:17,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Cottonwood,"https://www.publicsurplus.com/sms/cottonwoodcore,mn/list/current?orgid=1052943",2026-07-27T13:56:19,200,sale_found,tax forfeit,
Crow Wing,https://crowwing.us/269/Land-Sales,2026-07-27T13:56:21,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Dakota,https://www.co.dakota.mn.us/HomeProperty/Forfeited,2026-07-27T13:56:24,200,sale_found,tax-forfeited; forfeited land; forfeited property; forfeited parcels,
Dodge,https://www.co.dodge.mn.us/departments/adminstration/tax-forfeited_property.php,2026-07-27T13:56:29,200,sale_found,tax-forfeited; forfeited land; forfeited property,
Douglas,https://www.douglascountymn.gov/tax-forfeited-land,2026-07-27T13:56:31,200,sale_found,tax forfeited; forfeited land; land sale; public auction; forfeited parcels,
Douglas,"https://www.publicsurplus.com/sms/douglascore,mn/browse/home",2026-07-27T13:56:34,200,sale_found,forfeited land; tax forfeit,
Faribault,https://www.faribaultcountymn.gov/1247/Tax-Forfeiture-Land-Sale-Information,2026-07-27T13:56:37,200,sale_found,tax-forfeited; forfeited land; land sale; forfeited parcels; tax forfeit,
Faribault,"https://www.publicsurplus.com/sms/faribaultcore,mn/browse/home",2026-07-27T13:56:39,200,sale_found,forfeited land; tax forfeit,
Fillmore,https://www.co.fillmore.mn.us/departments/auditor_treasurer/tax_forfeited_land_sales.php,2026-07-27T13:56:42,200,sale_found,tax forfeited; forfeited land; land sale; public auction; forfeiture sale,
Freeborn,https://www.co.freeborn.mn.us/168/Forfeiture-Property,2026-07-27T13:56:44,200,sale_found,tax forfeited; tax-forfeited; forfeited property; forfeited parcels; tax forfeit,
Goodhue,https://www.co.goodhue.mn.us/719/Tax-Forfeited-Land,2026-07-27T13:56:47,200,sale_found,tax forfeited; forfeited land; public auction; forfeited parcels; tax forfeit,
Grant,https://www.co.grant.mn.us/371/Tax-Forfeiture-PropertiesFor-Immediate-S,2026-07-27T13:56:50,200,sale_found,tax forfeit,
Hennepin,https://www.hennepincounty.gov/services/property/tax-forfeited-land,2026-07-27T13:56:53,200,sale_found,tax-forfeited; forfeited land; land sale; classification sale; forfeited property,
Hennepin,https://public-hennepin.epropertyplus.com/,2026-07-27T13:56:59,200,needs_manual_review,,Page content too short - may require JavaScript
Houston,https://www.co.houston.mn.us/departments/auditor-treasurer/,2026-07-27T13:57:02,,error_ssl_error,,"ssl_error: HTTPSConnectionPool(host='www.co.houston.mn.us', port=443): Max retries exceeded with url: /departments/auditor-treasurer/ (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1016)')))"
Hubbard,https://co.hubbard.mn.us/tfl,2026-07-27T13:57:04,200,sale_found,tax forfeited; forfeited land; land sale; public auction; over-the-counter,
Isanti,https://www.co.isanti.mn.us/228/Tax-Forfeited-Property,2026-07-27T13:57:07,200,no_sale_found,,
Itasca,https://www.co.itasca.mn.us/616/Tax-Forfeit-Land,2026-07-27T13:57:10,200,sale_found,tax forfeited; forfeited land; public auction; tax forfeit,
Itasca,https://www.co.itasca.mn.us/304/Real-Estate,2026-07-27T13:57:14,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; over-the-counter,
Jackson,https://www.co.jackson.mn.us/auditor,2026-07-27T13:57:17,200,sale_found,tax forfeited; tax forfeit,
Kanabec,https://www.kanabeccounty.org/departments/tax_forfeit_land_sale.php,2026-07-27T13:57:20,200,sale_found,tax forfeited; land sale; forfeited parcels; tax forfeit,
Kandiyohi,https://www.kcmn.us/departments/auditor_treasurer/tax_forfeited_lands_for_sale.php,2026-07-27T13:57:22,200,sale_found,tax forfeited; forfeited land; tax forfeit,
Kittson,https://www.co.kittson.mn.us/government/departments/taxpayer_services.php,2026-07-27T13:57:24,200,sale_found,tax-forfeited; forfeited land; land sale,
Koochiching,https://www.co.koochiching.mn.us/259/Tax-Forfeited-Land-Sales,2026-07-27T13:57:27,200,sale_found,tax forfeited; forfeited land; land sale; over-the-counter; tax forfeit,
Lac qui Parle,https://www.lqpco.com/319/Forfeited-Properties,2026-07-27T13:57:30,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Lake,https://www.co.lake.mn.us/forestry/land-sales/,2026-07-27T13:57:33,200,sale_found,tax-forfeited; forfeited land; land sale; forfeiture sale; forfeited property,
Lake of the Woods,https://www.co.lake-of-the-woods.mn.us/auditor/property-taxes/,2026-07-27T13:57:36,200,sale_found,tax forfeited; land sale; forfeited property; tax forfeit,
Lake of the Woods,https://www.co.lake-of-the-woods.mn.us/community/land-sales/,2026-07-27T13:57:38,200,sale_found,tax-forfeited; forfeited land; land sale; public auction,
Le Sueur,https://www.co.le-sueur.mn.us/DocumentCenter/View/139/Forfeit-Property-for-Sale-PDF,2026-07-27T13:57:41,200,no_sale_found,,
Le Sueur,https://www.co.le-sueur.mn.us/185/Auditor-Treasurer-Office,2026-07-27T13:57:44,200,sale_found,tax forfeited; forfeited property; tax forfeit,
Lincoln,http://www.co.lincoln.mn.us/Departments/AuditorTreasurer.html,2026-07-27T13:57:47,200,no_sale_found,,
Lyon,"https://www.publicsurplus.com/sms/lyonco,mn/browse/home",2026-07-27T13:57:55,200,sale_found,forfeited land; tax forfeit,
Mahnomen,https://www.mahnomencounty.gov/department/departments_a_h/auditor_-_treasurer.php,2026-07-27T13:57:57,200,sale_found,tax forfeited; tax forfeit,
Mahnomen,"https://www.publicsurplus.com/sms/mahnomencore,mn/browse/cataucs?catid=15",2026-07-27T13:57:59,200,sale_found,forfeited land; tax forfeit,
Marshall,https://www.co.marshall.mn.us/departments/auditor-treasurer/index.php,2026-07-27T13:58:02,200,no_sale_found,,
Martin,https://www.co.martin.mn.us/your_government/departments/auditor_treasurer/tax_forfeited_land.php,2026-07-27T13:58:06,200,sale_found,tax forfeited; tax-forfeited; forfeited land; tax forfeit,
McLeod,https://www.co.mcleod.mn.us/government/auditor-treasurer/tax_forfeited_property.php,2026-07-27T13:58:08,200,sale_found,tax forfeited; forfeited land; land sale; public auction; forfeited property,
Meeker,https://www.co.meeker.mn.us/336/Tax-Forfeit-Property,2026-07-27T13:58:11,200,sale_found,tax forfeited; forfeited property; tax forfeit,
Mille Lacs,https://www.millelacs.mn.gov/2700/Tax-Forfeited-Property,2026-07-27T13:58:14,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Morrison,https://www.co.morrison.mn.us/283/Land,2026-07-27T13:58:17,200,sale_found,tax forfeited; forfeited land; land sale; forfeited parcels; tax forfeit,
Mower,https://www.co.mower.mn.us/191/Tax-Forfeited-Properties-For-Sale,2026-07-27T13:58:19,200,sale_found,tax forfeited; tax-forfeited; forfeited land; public auction; tax forfeit,
Murray,https://www.murraycountymn.com/county_departments/auditor_treasurer/index.php,2026-07-27T13:58:22,200,no_sale_found,,
Murray,https://www.murraycountymn.com/newslist.php,2026-07-27T13:58:27,200,no_sale_found,,
Nicollet,https://www.co.nicollet.mn.us/170/Tax-Forfeited-Properties,2026-07-27T13:58:33,200,sale_found,tax forfeited; forfeited land; forfeiture sale; forfeited property; forfeited parcels,
Nobles,https://www.co.nobles.mn.us/notice-of-public-sale-of-tax-forfeited-lands/,2026-07-27T13:58:37,202,needs_manual_review,,Page content too short - may require JavaScript
Norman,https://www.co.norman.mn.us/departments/auditor-treasurer/tax_forfeiture.php,2026-07-27T13:58:39,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; classification sale,
Olmsted,https://www.olmstedcounty.gov/business/business-licensing-permits/sales/tax-forfeited-property#land-auctions__open--121118826,2026-07-27T13:58:41,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; over-the-counter,
Otter Tail,https://ottertailcounty.gov/property-home/property-sales/tax-forfeited-lands/,2026-07-27T13:58:43,403,error_http_403,,http_403
Otter Tail,"https://www.publicsurplus.com/sms/ottertailcore,mn/list/current?orgid=886091",2026-07-27T13:58:45,200,no_sale_found,,
Pennington,https://co.pennington.mn.us/index.php/services/treasurer,2026-07-27T13:58:48,200,sale_found,tax forfeited; forfeited land; land sale; tax forfeit,
Pine,https://www.co.pine.mn.us/departments/land/tax_forfeited_land_for_sale.php,2026-07-27T13:58:51,200,sale_found,tax forfeited; forfeited land; land sale; over-the-counter; tax forfeit,
Pipestone,https://www.pipestone-county.com/government/departments/assessor/property_tax.php,2026-07-27T13:58:53,200,no_sale_found,,
Polk,https://www.co.polk.mn.us/190/Forfeited-Property-Currently-for-Sale,2026-07-27T13:59:00,200,sale_found,tax-forfeited; forfeited land; forfeited property; tax forfeit,
Polk,https://www.co.polk.mn.us/192/Forfeited-Property-Auctions,2026-07-27T13:59:02,200,sale_found,forfeited property,
Pope,https://www.popecountymn.gov/?s=tax+forfeited,2026-07-27T13:59:05,202,needs_manual_review,,Page content too short - may require JavaScript
Pope,https://www.popecountymn.gov/auditor-treasurer/,2026-07-27T13:59:08,202,needs_manual_review,,Page content too short - may require JavaScript
Ramsey,https://www.ramseycountymn.gov/residents/property-home/taxes-values/productive-properties/tax-forfeited-public-sales,2026-07-27T13:59:10,200,sale_found,tax-forfeited; forfeited land; public auction; forfeited parcels,
Ramsey,https://www.ramseycountymn.gov/residents/property-home/taxes-values/productive-properties,2026-07-27T13:59:12,200,sale_found,tax forfeited; tax-forfeited; forfeited land; forfeited property; forfeited parcels,
Red Lake,https://redlakecounty.gov/departments/auditor/index.php,2026-07-27T13:59:14,200,sale_found,tax forfeited; forfeited land; land sale; tax forfeit,
Red Lake,https://redlakecounty.gov/departments/treasurer/property_tax_information.php,2026-07-27T13:59:17,200,no_sale_found,,
Redwood,https://redwoodcounty-mn.us/departments/auditor-treasurer/,2026-07-27T13:59:20,200,sale_found,tax forfeited; forfeited property; tax forfeit,
Renville,https://www.renvillecountymn.gov/auditor-treasurer/,2026-07-27T13:59:23,200,sale_found,tax-forfeited; forfeited land; over-the-counter; forfeited property; tax forfeit,
Renville,https://www.renvillecountymn.gov/vidoc/tax-forfeited-property-information/,2026-07-27T13:59:25,200,sale_found,tax-forfeited; forfeited land; land sale; sealed bid; over-the-counter,
Rice,https://www.ricecountymn.gov/249/Property-values-and-taxes,2026-07-27T13:59:28,200,no_sale_found,,
Rock,https://www.co.rock.mn.us/index.php,2026-07-27T13:59:31,200,no_sale_found,,
Roseau,https://www.co.roseau.mn.us/government/a_-_e/assessor/index.php,2026-07-27T13:59:47,200,no_sale_found,,
Saint Louis,https://www.stlouiscountymn.gov/departments-a-z/land-minerals/sales-and-contracts/tax-forfeited-land-sales,2026-07-27T13:59:59,200,sale_found,tax-forfeited; forfeited land; land sale; public auction; tax forfeit,
Scott,https://www.scottcountymn.gov/2326/Tax-Forfeited-Properties,2026-07-27T14:00:02,200,no_sale_found,,
Scott,https://www.scottcountymn.gov/1163/Property-Taxation-Services,2026-07-27T14:00:05,200,sale_found,tax forfeited; tax forfeit,
Sherburne,https://www.co.sherburne.mn.us/232/Tax-Forfeited-Parcels,2026-07-27T14:00:07,200,sale_found,tax forfeited; tax-forfeited; forfeited land; land sale; public auction,
Sibley,https://www.sibleycounty.gov/606/Delinquent-Property-Taxes-Tax-Forfeiture,2026-07-27T14:00:10,200,sale_found,tax forfeited; forfeited land; land sale; tax forfeit,
Sibley,https://www.publicsurplus.com/sms/list/current?orgid=1014736,2026-07-27T14:00:13,200,no_sale_found,,
Stearns,https://www.stearnscountymn.gov/691/Tax-Forfeited-Property,2026-07-27T14:00:15,200,sale_found,tax-forfeited; forfeited property,
Steele,https://www.co.steele.mn.us/divisions/land_use_and_records/auditor/tax_forfeited_properties_for_sale.php,2026-07-27T14:00:18,200,sale_found,tax forfeited; tax-forfeited; forfeited land; tax forfeit,
Stevens,https://www.co.stevens.mn.us/888/Assessor,2026-07-27T14:00:21,200,sale_found,tax forfeit,
Swift,https://swiftcounty.gov/index.asp?SEC=22C06DD0-CA7C-4FAD-A590-47B91E5D36D7,2026-07-27T14:00:24,200,sale_found,forfeiture sale; tax forfeit,
Swift,"https://www.publicsurplus.com/sms/swiftco,mn/browse/home",2026-07-27T14:00:26,200,sale_found,forfeited land; tax forfeit,
Todd,https://www.toddcountymn.gov/government/departments/auditor_and_treasurer/tax_forfeited_land.php,2026-07-27T14:00:29,200,sale_found,tax forfeited; forfeited land; forfeited parcels; tax forfeit,
Todd,https://www.toddcountymn.gov/government/departments/auditor_and_treasurer/index.php,2026-07-27T14:00:31,200,sale_found,tax forfeited; forfeited land; tax forfeit,
Traverse,https://www.co.traverse.mn.us/departments/departments/assessor/,2026-07-27T14:00:33,200,no_sale_found,,
Wabasha,https://www.co.wabasha.mn.us/departments/auditor_treasurer/tax_forfeited_property_sale.php,2026-07-27T14:00:36,200,sale_found,tax forfeited; forfeited property; tax forfeit,
Wadena,http://www.co.wadena.mn.us/322/Tax-Forfeited-Land,2026-07-27T14:00:38,200,sale_found,tax forfeited; forfeited land; tax forfeit,
