bucket,county,sale_date,sale_time,sale_type,location,online_url,description,source_url,source_type,deadlines
auction,Chisago,2026-05-29,,In Person,,,"Tax Forfeited Land | Chisago County, MN - Official Website Skip to Main Content Labor Negotiations Update on Labor Negotiations 05/29/2026 Read On... Create a Website Account - Manage notification sub",https://www.chisagocounty.us/161/Tax-Forfeited-Land,county_webpage,
auction,Pope,2026-06-01,2:09pm,In Person,the Pope County Auditor/Treasurer’s office during regular business hours (8:00am-4:30pm),,NOTICE OF PUBLIC SALE OF TAX FORFEITED LANDS - Pope County Tribune Home News Sports Opinions Obituaries Classifieds Public Notice Area Churches Community Meetings E-edition Special Sections Visitor Gu,https://pctribune.com/2023/11/notice-of-public-sale-of-tax-forfeited-lands/,public_notice_page,
auction,Redwood,2026-06-02,8:00,Unknown,County Government Center,,formation on parcel FULL TERMS AND CONDITIONS FOR TAX FORFEITED SALE (PDF) 2026 Forfeited Property Tax Sale THERE ARE CURRENTLY NO TAX FORFEITED PROPERTY AUCTIONS SCHEDULED. PLEASE CHECK BACK AT A LAT,https://redwoodcounty-mn.us/departments/auditor-treasurer/,county_webpage,
auction,Brown,2026-06-25,10:00,In Person,the Auditor-Treasurer's office on the 2nd floor of the Brown County Courthou,,tion Tax-Forfeiture Land Program How Land Becomes Tax Forfeited Repurchase Process Home Departments Auditor-Treasurer Property Taxation Delinquent Taxes General Auction / Property Sale Information Gen,https://www.co.brown.mn.us/183/General-Auction-Property-Sale-Informatio,county_webpage,
auction,Brown,2026-07-24,10:00,In Person,the Auditor-Treasurer's office on the 2nd floor of the Brown County Courthou,,tion Tax-Forfeiture Land Program How Land Becomes Tax Forfeited Repurchase Process Home Departments Auditor-Treasurer Property Taxation Delinquent Taxes General Auction / Property Sale Information Gen,https://www.co.brown.mn.us/183/General-Auction-Property-Sale-Informatio,county_webpage,
auction,Aitkin,,8:00 AM,Unknown,County Government Center,,218-927-7364 Land Classification of Aitkin County tax-forfeited Lands Forfeited 2020 & re-classified Forfeited 2019 Forfeited 2018 Forfeited 2017 Forfeited 2016 Forfeited 2014 & 2015 Full County Conta,https://www.co.aitkin.mn.us/departments/land/land-sales.php,county_webpage,Date not extracted - manual review needed
auction,Anoka,,,Unknown,,,t & Taxation Taxation Delinquent & Tax Forfeiture Tax Forfeited Land Sales Tax-Forfeited Land Sales Tax-Forfeited Parcels Tax-forfeited parcels are properties on which delinquent property taxes were n,https://www.anokacounty.us/310/Tax-Forfeited-Land-Sales,county_webpage,Date not extracted - manual review needed
auction,Becker,,,Unknown,,,l Resources Management Menu Dept Home Page County Tax Forfeited Land Information Environmental Policy Forest Roads & Trails Timber Auctions Tax-Forfeited Land Sales Tax-Forfeit Easements Forest Manage,https://www.co.becker.mn.us/dept/natural_resource/tax_forfeited_sales.aspx,county_webpage,Date not extracted - manual review needed
auction,Benton,,,In Person,the current estimated market value,,"Tax Forfeited Properties | Benton County, MN Skip to Main Content How Do I... Services Community Government Search Aggregate Tax Elections Am I registered to vote? Register to vote or update your vote",https://www.co.benton.mn.us/187/Tax-Forfeited-Properties,county_webpage,Date not extracted - manual review needed
auction,Carlton,,,Unknown,Auditor’s Office and the County Board,,"ddressing Authorities Forest Enhancement Projects Tax Forfeited Land Sale Home Government Departments Land Department Land Department Department Function Management of approximately 73,000 acres of ta",https://www.co.carlton.mn.us/163/Land-Department,county_webpage,Date not extracted - manual review needed
auction,Cass,,4:30 pm,In Person,public auction and did not sell,,anuary 2027. Land Sale Auction Bidding Info (PDF) Tax-forfeited lands in forest management status or lands that provide primary access will not be offered for sale. Tax-forfeited lands offered for sal,https://www.casscountymn.gov/1339/Land-Sales,county_webpage,Date not extracted - manual review needed
auction,Clay,,,Online,Auditor's Office holds an online auction sale to dispose of Clay County prop,,"total sales prices, said 3% to be credited to the Tax Forfeited Assurance Account as required under Minnesota Statute 284.28 Sub. 6. A $25.00 state deed fee and a $46.00 recording fee must also be col",https://claycountymn.gov/290/Forfeiture-Property-for-Sale,county_webpage,Date not extracted - manual review needed
auction,Clearwater,,8:00,In Person,,,Links Contact Us Clearwater County Land Sales The tax-forfeited lands offered for sale by Clearwater County are either lands that have recently forfeited or lands which the county has classified for s,https://www.co.clearwater.mn.us/index.asp?SEC=49B3D327-94F9-4B4A-B2D1-3B8A64A59AAF,county_webpage,Date not extracted - manual review needed
auction,Freeborn,,10:00 am,In Person,County Courthouse,,"iewing: We will be hosting a tour of a few of our Tax Forfeited parcels on Friday, September 26 th , 2025. The tour will begin at 1:00 pm, we will remain at each of the parcels for 15 minutes, if no o",https://www.co.freeborn.mn.us/168/Forfeiture-Property,county_webpage,Date not extracted - manual review needed
auction,Goodhue,,,In Person,County Government Center,,"Tax Forfeited Land - Auditor/Treasurer - Goodhue County, MN Home About Departments Government Contact Bid Notices Calendar Employment FAQ Employee Portal Translate Language Translate Search Goodhue Co",https://www.co.goodhue.mn.us/719/Tax-Forfeited-Land,county_webpage,Date not extracted - manual review needed
